Campaign Name,Date,Impressions,Clicks,Spend,Revenue,Conversions,Platform
Video Ads - YouTube,2026-06-18,168000,3360,10080.00,4700.00,62,Google Ads
Video Ads - YouTube,2026-06-19,200000,4000,12000.00,6200.00,85,Google Ads
Video Ads - YouTube,2026-06-20,165000,3300,9900.00,4500.00,58,Google Ads
Video Ads - YouTube,2026-06-21,210000,4200,12600.00,6500.00,90,Google Ads
Video Ads - YouTube,2026-06-22,175000,3500,10500.00,5100.00,68,Google Ads
LinkedIn Lead Gen,2026-06-15,18000,720,5400.00,12600.00,95,LinkedIn
LinkedIn Lead Gen,2026-06-16,16500,660,4950.00,11200.00,82,LinkedIn
LinkedIn Lead Gen,2026-06-17,19500,780,5850.00,13800.00,105,LinkedIn
LinkedIn Lead Gen,2026-06-18,15800,632,4740.00,10500.00,78,LinkedIn
LinkedIn Lead Gen,2026-06-19,20500,820,6150.00,14500.00,112,LinkedIn
LinkedIn Lead Gen,2026-06-20,15200,608,4560.00,10000.00,72,LinkedIn
LinkedIn Lead Gen,2026-06-21,21500,860,6450.00,15200.00,118,LinkedIn
LinkedIn Lead Gen,2026-06-22,17000,680,5100.00,11800.00,88,LinkedIn
Twitter Engagement Drive,2026-06-20,85000,2550,5100.00,3800.00,42,Twitter
Twitter Engagement Drive,2026-06-21,78000,2340,4680.00,3400.00,36,Twitter
Twitter Engagement Drive,2026-06-22,92000,2760,5520.00,4200.00,48,Twitter
Twitter Engagement Drive,2026-06-23,75000,2250,4500.00,3200.00,32,Twitter
Twitter Engagement Drive,2026-06-24,95000,2850,5700.00,4500.00,52,Twitter
Twitter Engagement Drive,2026-06-25,72000,2160,4320.00,3000.00,28,Twitter
Twitter Engagement Drive,2026-06-26,98000,2940,5880.00,4700.00,55,Twitter
Twitter Engagement Drive,2026-06-27,80000,2400,4800.00,3500.00,38,Twitter
Monsoon Fashion Launch,2026-06-25,68000,3400,8500.00,25500.00,220,Meta
Monsoon Fashion Launch,2026-06-26,62000,3100,7750.00,22800.00,195,Meta
Monsoon Fashion Launch,2026-06-27,75000,3750,9375.00,28500.00,248,InMobi
Monsoon Fashion Launch,2026-06-28,58000,2900,7250.00,21000.00,180,InMobi
Monsoon Fashion Launch,2026-06-29,78000,3900,9750.00,30200.00,260,Meta
Monsoon Fashion Launch,2026-06-30,55000,2750,6875.00,19500.00,168,Meta
Monsoon Fashion Launch,2026-07-01,82000,4100,10250.00,32000.00,278,InMobi
Monsoon Fashion Launch,2026-07-02,60000,3000,7500.00,22000.00,190,InMobi
Independence Day Promo,2026-07-01,95000,4750,14250.00,42000.00,380,Google Ads
Independence Day Promo,2026-07-02,88000,4400,13200.00,38500.00,345,Google Ads
Independence Day Promo,2026-07-03,102000,5100,15300.00,46000.00,415,Meta
Independence Day Promo,2026-07-04,85000,4250,12750.00,37000.00,330,Meta
Independence Day Promo,2026-07-05,108000,5400,16200.00,49000.00,440,Google Ads
Independence Day Promo,2026-07-06,82000,4100,12300.00,35500.00,315,Google Ads
Independence Day Promo,2026-07-07,112000,5600,16800.00,52000.00,465,Meta
Independence Day Promo,2026-07-08,90000,4500,13500.00,40000.00,355,Meta
InMobi CPI Test,2026-07-10,42000,1680,8400.00,4200.00,135,InMobi
InMobi CPI Test,2026-07-11,38500,1540,7700.00,3600.00,118,InMobi
InMobi CPI Test,2026-07-12,45000,1800,9000.00,4600.00,148,InMobi
InMobi CPI Test,2026-07-13,36000,1440,7200.00,3300.00,108,InMobi
InMobi CPI Test,2026-07-14,48000,1920,9600.00,5000.00,158,InMobi
InMobi CPI Test,2026-07-15,34000,1360,6800.00,3000.00,98,InMobi
InMobi CPI Test,2026-07-16,50000,2000,10000.00,5500.00,168,InMobi
InMobi CPI Test,2026-07-17,39500,1580,7900.00,3800.00,125,InMobi
Weekend Flash Sale,2026-07-18,55000,4400,11000.00,38000.00,350,Google Ads
Weekend Flash Sale,2026-07-19,52000,4160,10400.00,35200.00,325,Google Ads
Weekend Flash Sale,2026-07-20,58000,4640,11600.00,40500.00,375,Meta
Weekend Flash Sale,2026-07-21,49000,3920,9800.00,33000.00,300,Meta
Weekend Flash Sale,2026-07-22,61000,4880,12200.00,43000.00,400,Google Ads
Weekend Flash Sale,2026-07-23,47000,3760,9400.00,31500.00,285,Google Ads
Weekend Flash Sale,2026-07-24,63000,5040,12600.00,45000.00,420,Meta
Weekend Flash Sale,2026-07-25,50000,4000,10000.00,34000.00,310,Meta
Diwali Sale Push,2026-07-26,48500,1940,5820.00,17500.00,152,Google Ads
Diwali Sale Push,2026-07-27,42000,1680,5040.00,15000.00,128,Google Ads
Diwali Sale Push,2026-07-28,53000,2120,6360.00,20500.00,172,Meta
Diwali Sale Push,2026-07-29,44500,1780,5340.00,16200.00,140,Meta
App Install - Tier 1,2026-07-26,125000,3750,11250.00,8800.00,305,Google Ads
App Install - Tier 1,2026-07-27,118000,3540,10620.00,8100.00,280,InMobi
App Install - Tier 1,2026-07-28,132000,3960,11880.00,9500.00,325,InMobi
App Install - Tier 1,2026-07-29,112000,3360,10080.00,7600.00,260,Google Ads
Diwali Sale Push,2026-06-01,45200,1808,5420.00,16200.50,142,Google Ads
Diwali Sale Push,2026-06-02,38900,1556,4668.00,13950.00,118,Google Ads
Brand Awareness Q2,2026-06-05,,4200,6300.00,2800.00,35,Meta
Summer Clearance,2026-06-14,54200,2710,,23500.00,205,Google Ads
Video Ads - YouTube,2026-06-19,150000,160000,12000.00,6200.00,85,Google Ads
InMobi CPI Test,2026-07-12,45000,1800,9000.00,,-1,InMobi
